# Run complete. Total time: 06:38:31

Benchmark                                                                                                                                  (fileUnderTest)  Mode  Samples        Score        Error  Units
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqOnly                     src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20   535413.775 ±  55090.125  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqThenDeq                     src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20    10208.620 ±  10879.827  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqThenDeq                    src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    14328.802 ±   1561.298  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqThenDeq                   src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20   190936.880 ±  31134.906  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqThenDeq                  src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20  1762060.148 ± 288809.608  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_DeqOnly                         src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     1492.227 ±    751.008  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_DeqOnly                        src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20     7721.536 ±    521.370  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_DeqOnly                       src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20   110531.592 ±  10806.529  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_DeqOnly                      src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20  1127767.734 ±  79996.042  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqAndDeqSimultaneously         src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     5365.245 ±   8389.364  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqAndDeqSimultaneously        src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    13199.232 ±    723.443  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqAndDeqSimultaneously       src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20   175110.420 ±  15566.773  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqAndDeqSimultaneously      src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20  1880830.505 ± 102692.984  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqOnly                         src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     6133.928 ±   7749.929  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqOnly                        src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    13074.214 ±  19533.908  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqOnly                       src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20    50017.710 ±  10837.393  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqOnly                      src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20   526016.921 ±  60878.468  us/op
